local,ultimo_mes_pagado,ultimo_mes_pagado_raw,payment_status,recibo,receipt_date,category,path
E-30,2024-11,2024-11,COMPLETO,,,GC,
E-31,2024-11,2024-11,COMPLETO,,,GC,
E-32,2024-11,2024-11,COMPLETO,,,GC,
E-33,2024-11,2024-11,COMPLETO,,,GC,
E-34,2024-11,2024-11,COMPLETO,,,GC,
E-35,2024-11,2024-11,COMPLETO,,,GC,
E-36,2024-11,2024-11,COMPLETO,,,GC,
F-12,2025-06,2025-06,COMPLETO,,,GC,
F-15,2025-06,2025-06,COMPLETO,,,GC,
F-16,2025-06,2025-06,COMPLETO,,,GC,
F-17,2025-06,2025-06,COMPLETO,,,GC,
F-33,2025-03,2025-03,COMPLETO,,,GC,
F-36,2024-11,2024-11,COMPLETO,,,GC,
FL-01,2025-02,2025-02,COMPLETO,,,GC,
G-04,2025-06,2025-06,COMPLETO,,,GC,
G-12,2024-12,2024-12,COMPLETO,,,GC,
G-15A,2025-06,2025-06,COMPLETO,,,GC,
G-16,2025-06,2025-06,COMPLETO,,,GC,
G-18,2025-06,2025-06,COMPLETO,,,GC,
GM-01,2025-06,2025-06,COMPLETO,,,GC,
GM-02,2025-06,2025-06,COMPLETO,,,GC,
GM-04,2024-12,2024-12,COMPLETO,,,GC,
GM-20,2025-06,2025-06,COMPLETO,,,GC,
GM-24,2025-06,2025-06,COMPLETO,,,GC,
GM-26,2025-06,2025-06,COMPLETO,,,GC,
H-01,2025-06,2025-06,COMPLETO,,,GC,
HM-02,2025-01,2025-01,COMPLETO,,,GC,
HM-19,2025-06,2025-06,COMPLETO,,,GC,
HM-24,2025-06,2025-06,COMPLETO,,,GC,
HM-27,2024-12,2024-12,COMPLETO,,,GC,
I-03,2025-06,2025-06,COMPLETO,,,GC,
I-04,2025-06,2025-06,COMPLETO,,,GC,
I-05,2025-06,2025-06,COMPLETO,,,GC,
I-06,2025-06,2025-06,COMPLETO,,,GC,
I-11,2025-06,2025-06,COMPLETO,,,GC,
J-03,2025-01,2025-01,COMPLETO,,,GC,
PLZ-01,2025-06,2025-06,COMPLETO,,,GC,
